City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Sao Filipe,CV,2022-03-12 23:18:33,14.8961,-24.4956,74.95,60,7,17.2
93,Hilo,US,2022-03-12 23:18:03,19.7297,-155.09,80.33,66,75,13.8
94,Husavik,IS,2022-03-12 23:19:34,66.0449,-17.3389,27.45,74,94,14.83
95,Kananga,CD,2022-03-12 23:19:34,-5.8958,22.4178,67.21,99,100,0.87
96,Wewak,PG,2022-03-12 23:19:35,-3.5534,143.6268,81.93,80,96,5.57
97,Hithadhoo,MV,2022-03-12 23:19:35,-0.6,73.0833,82.47,72,9,8.28
98,Mahina,PF,2022-03-12 23:19:36,-17.5065,-149.489,87.57,62,40,11.5
99,Henties Bay,NA,2022-03-12 23:19:36,-22.116,14.2845,65.37,92,64,4.9
100,Butaritari,KI,2022-03-12 23:19:37,3.0707,172.7902,81.55,78,38,21.32
101,Esperance,AU,2022-03-12 23:19:38,-33.8667,121.9,68.0,69,66,6.15
102,Nueva Guinea,NI,2022-03-12 23:19:38,11.6876,-84.4562,85.12,49,63,14.36
103,Ponta Delgada,PT,2022-03-12 23:19:39,37.7333,-25.6667,56.5,71,20,6.91
104,Ahipara,NZ,2022-03-12 23:19:39,-35.1667,173.1667,71.28,83,99,5.3
105,Buala,SB,2022-03-12 23:19:40,-8.145,159.5921,79.14,83,100,1.88
106,Vaini,TO,2022-03-12 23:19:40,-21.2,-175.2,86.16,74,40,6.91
107,Rtishchevo,RU,2022-03-12 23:19:41,52.2604,43.7874,-0.56,99,100,3.65
108,Kamen-Rybolov,RU,2022-03-12 23:19:41,44.7481,132.0403,30.34,87,100,10.6
109,Hualmay,PE,2022-03-12 23:19:42,-11.0964,-77.6139,74.28,77,70,8.59
110,Betafo,MG,2022-03-12 23:19:43,-19.8333,46.85,58.08,96,100,5.55
111,Saint-Pierre,RE,2022-03-12 23:15:53,-21.3393,55.4781,76.68,92,75,17.27
112,Tynda,RU,2022-03-12 23:19:43,55.1667,124.7167,-3.93,95,86,1.79
113,Axim,GH,2022-03-12 23:19:44,4.8699,-2.2405,79.92,87,87,3.38
114,Puqi,CN,2022-03-12 23:19:45,29.7167,113.8833,66.6,86,95,3.44
115,Bayanday,RU,2022-03-12 23:19:45,53.0661,105.5139,8.69,96,100,2.71
116,Vostok,RU,2022-03-12 23:15:52,46.4856,135.8833,21.78,83,100,2.89
117,Penapolis,BR,2022-03-12 23:19:46,-21.4197,-50.0775,73.22,90,95,8.03
118,Muli,MV,2022-03-12 23:19:46,2.9167,73.5667,82.09,72,5,7.2
119,Salalah,OM,2022-03-12 23:19:47,17.0151,54.0924,72.5,52,59,1.9
120,Biak,ID,2022-03-12 23:19:47,-0.9131,122.8766,78.17,82,93,0.92
121,Saint George,US,2022-03-12 23:19:48,37.1041,-113.5841,66.25,17,0,0.0
122,Mantua,IT,2022-03-12 23:19:49,45.1667,10.7833,38.44,56,35,1.99
123,Aklavik,CA,2022-03-12 23:19:49,68.2191,-135.0107,-5.8,65,40,10.36
124,Port Hardy,CA,2022-03-12 23:19:44,50.6996,-127.4199,44.6,87,100,17.27
125,Gat,IL,2022-03-12 23:15:05,31.61,34.7642,46.4,100,3,3.6
126,Maddela,PH,2022-03-12 23:19:50,16.3414,121.6849,72.72,99,100,0.87
127,Cidreira,BR,2022-03-12 23:19:51,-30.1811,-50.2056,69.67,65,66,8.37
128,Tarko-Sale,RU,2022-03-12 23:19:51,64.9225,77.785,-6.12,96,82,10.16
129,Dakoro,NE,2022-03-12 23:19:52,14.5106,6.765,76.62,19,26,11.25
130,Bogorodskoye,RU,2022-03-12 23:19:53,56.55,37.8833,25.09,97,100,2.57
131,Upernavik,GL,2022-03-12 23:18:09,72.7868,-56.1549,-14.12,98,100,10.63
132,Pingdu,CN,2022-03-12 23:19:54,36.7844,119.9464,47.43,95,65,3.8
133,Angoche,MZ,2022-03-12 23:19:54,-16.2325,39.9086,75.76,92,100,3.29
134,Barra Do Garcas,BR,2022-03-12 23:19:55,-15.89,-52.2567,74.75,92,100,3.87
135,Nioro,GM,2022-03-12 23:19:55,13.35,-15.75,82.13,20,63,3.09
136,Sakaiminato,JP,2022-03-12 23:19:56,35.55,133.2333,62.53,72,75,9.22
137,Wajima,JP,2022-03-12 23:19:57,37.4,136.9,56.08,76,75,9.22
138,Puerto Ayora,EC,2022-03-12 23:19:57,-0.7393,-90.3518,77.56,97,35,1.79
139,Amapa,BR,2022-03-12 23:20:58,1.0,-52.0,73.2,98,98,3.02
140,Ribeira Grande,PT,2022-03-12 23:20:58,38.5167,-28.7,57.9,63,100,15.3
141,Pietersburg,ZA,2022-03-12 23:20:59,-23.9045,29.4688,61.65,82,8,2.3
142,Provideniya,RU,2022-03-12 23:20:59,64.3833,-173.3,21.22,62,0,10.02
143,Fairbanks,US,2022-03-12 23:17:38,64.8378,-147.7164,17.24,37,0,17.27
144,Krasnoselkup,RU,2022-03-12 23:21:00,65.7,82.4667,-14.94,100,87,9.78
145,Aswan,EG,2022-03-12 23:21:01,24.0934,32.907,54.97,35,10,15.43
146,Namibe,AO,2022-03-12 23:21:01,-15.1961,12.1522,72.82,81,98,10.31
147,Kavaratti,IN,2022-03-12 23:19:18,10.5669,72.642,82.4,74,15,9.98
148,Republic,US,2022-03-12 23:21:02,37.12,-93.4802,39.29,39,0,11.5
149,Valley City,US,2022-03-12 23:21:02,46.9233,-98.0032,34.32,69,20,11.5
150,Jalcocotan,MX,2022-03-12 23:21:03,21.4667,-105.1167,86.61,50,0,6.44
151,Zyryanka,RU,2022-03-12 23:21:04,65.75,150.85,-2.16,93,100,9.28
152,Palembang,ID,2022-03-12 23:21:04,-2.9167,104.7458,73.49,100,40,0.0
153,North Auburn,US,2022-03-12 23:21:05,38.9313,-121.0819,68.92,26,0,12.66
154,Sorong,ID,2022-03-12 23:17:15,-0.8833,131.25,81.05,81,99,5.73
155,Felipe Carrillo Puerto,MX,2022-03-12 23:21:05,19.5833,-88.05,85.35,55,32,6.42
156,San Jose,US,2022-03-12 23:19:07,37.3394,-121.895,74.57,34,40,12.66
157,Shingu,JP,2022-03-12 23:17:07,33.7333,135.9833,59.25,78,99,4.99
158,Thompson,CA,2022-03-12 23:21:06,55.7435,-97.8558,12.36,52,75,6.91
159,Callaguip,PH,2022-03-12 23:21:07,18.0714,120.4867,77.02,78,20,2.3
160,Praia,CV,2022-03-12 23:19:37,14.9215,-23.5087,72.14,64,10,21.85
161,Kutum,SD,2022-03-12 23:21:08,14.2,24.6667,63.72,18,4,7.27
162,Cordoba,AR,2022-03-12 23:17:27,-31.4135,-64.1811,67.05,77,0,4.61
163,Chuy,UY,2022-03-12 23:21:09,-33.6971,-53.4616,59.9,74,0,7.18
164,Manicore,BR,2022-03-12 23:21:09,-5.8092,-61.3003,77.34,89,67,0.96
165,Namanga,KE,2022-03-12 23:21:10,-2.5433,36.7905,67.77,58,100,5.21
166,Khatanga,RU,2022-03-12 23:21:11,71.9667,102.5,-26.34,100,100,6.93
167,Vao,NC,2022-03-12 23:21:12,-22.6667,167.4833,79.36,71,93,11.52
168,Danielskuil,ZA,2022-03-12 23:21:12,-28.1887,23.5395,67.57,69,76,6.29
169,Changping,CN,2022-03-12 23:21:13,40.2186,116.2197,33.44,56,62,2.86
170,Port Augusta,AU,2022-03-12 23:19:41,-32.5,137.7667,79.09,18,92,4.83
171,Agropoli,IT,2022-03-12 23:21:13,40.3469,14.9966,40.33,69,100,5.7
172,Lae,PG,2022-03-12 23:21:14,-6.7221,146.9847,84.87,69,26,3.24
173,Southbridge,US,2022-03-12 23:21:14,42.0751,-72.0334,30.92,90,100,7.0
174,Port Alfred,ZA,2022-03-12 23:21:15,-33.5906,26.891,78.51,75,45,12.06
175,Zhezkazgan,KZ,2022-03-12 23:21:16,47.8043,67.7144,31.46,98,100,12.24
176,Karratha,AU,2022-03-12 23:21:16,-20.7377,116.8463,86.65,50,23,5.73
177,Shelburne,CA,2022-03-12 23:21:17,44.0787,-80.2041,14.9,82,99,20.0
178,Banjar,ID,2022-03-12 23:21:17,-8.19,114.9675,78.19,88,99,2.93
179,Prince Rupert,CA,2022-03-12 23:21:18,54.3161,-130.3201,44.69,76,0,11.5
180,San Cristobal,VE,2022-03-12 23:21:19,7.7669,-72.225,73.58,90,90,1.32
181,Alyangula,AU,2022-03-12 23:21:19,-13.8483,136.4192,86.36,68,99,12.3
182,Tasiilaq,GL,2022-03-12 23:21:20,65.6145,-37.6368,30.36,94,100,16.58
183,Ucluelet,CA,2022-03-12 23:21:21,48.9329,-125.5528,45.09,86,100,1.01
184,Agadez,NE,2022-03-12 23:21:21,19.75,10.25,64.53,14,0,9.71
185,Bonavista,CA,2022-03-12 23:22:22,48.6499,-53.1147,31.66,95,100,32.28
186,Atar,MR,2022-03-12 23:22:23,20.5169,-13.0499,72.21,10,0,7.4
187,Usinsk,RU,2022-03-12 23:22:23,65.9939,57.5281,12.92,97,100,2.26
188,Mezhdurechensk,RU,2022-03-12 23:22:24,53.6942,88.0603,-6.09,98,73,2.46
189,Mahanje,TZ,2022-03-12 23:22:25,-9.9333,35.3333,64.33,97,100,2.17
190,Moorhead,US,2022-03-12 23:22:25,46.8739,-96.7676,26.62,64,100,20.71
191,Iqaluit,CA,2022-03-12 23:22:26,63.7506,-68.5145,-20.47,76,20,0.0
192,Nemuro,JP,2022-03-12 23:22:27,43.3236,145.575,30.27,82,50,10.45
193,Jamestown,US,2022-03-12 23:22:27,42.097,-79.2353,17.02,48,100,20.71
194,Uvat,RU,2022-03-12 23:22:28,59.1433,68.8953,-11.07,100,61,4.5
195,Klyuchi,RU,2022-03-12 23:22:28,52.2667,79.1667,8.22,88,93,13.22
196,Kalevala,RU,2022-03-12 23:22:29,65.2,31.1667,33.08,95,100,4.34
197,Bambous Virieux,MU,2022-03-12 23:22:30,-20.3428,57.7575,79.21,94,75,11.5
198,Ponta Do Sol,PT,2022-03-12 23:22:30,32.6667,-17.1,65.07,78,98,7.81
199,Guerrero Negro,MX,2022-03-12 23:22:31,27.9769,-114.0611,69.39,31,0,17.25
200,Balma,FR,2022-03-12 23:22:31,43.6111,1.4994,51.67,90,100,18.41
201,Bahia Blanca,AR,2022-03-12 23:22:32,-38.7196,-62.2724,76.84,30,73,9.1
202,Medicine Hat,CA,2022-03-12 23:19:01,50.0501,-110.6683,43.79,61,100,4.61
203,Mehamn,NO,2022-03-12 23:22:32,71.0357,27.8492,28.13,93,91,6.8
204,Uige,AO,2022-03-12 23:22:33,-7.6087,15.0613,66.85,99,100,1.52
205,Grimshaw,CA,2022-03-12 23:21:07,56.1834,-117.6027,19.02,63,75,12.66
206,Chapais,CA,2022-03-12 23:22:34,49.7834,-74.8492,17.38,81,100,14.25
207,Evensk,RU,2022-03-12 23:22:35,61.95,159.2333,15.06,83,55,8.01
208,Aktau,KZ,2022-03-12 23:22:35,43.65,51.2,32.58,75,100,17.96
209,Luanda,AO,2022-03-12 23:22:36,-8.8368,13.2343,80.6,78,20,6.91
210,Mbuguni,TZ,2022-03-12 23:22:36,-3.5667,36.95,69.33,72,99,4.99
211,Jiwani,PK,2022-03-12 23:22:37,25.05,61.7417,76.44,70,6,6.4
212,Mayor Pablo Lagerenza,PY,2022-03-12 23:22:37,-19.9309,-60.7718,71.85,75,95,4.5
213,Port Blair,IN,2022-03-12 23:22:38,11.6667,92.75,77.04,94,20,2.3
214,Bluff,NZ,2022-03-12 23:22:39,-46.6,168.3333,64.8,70,5,4.03
215,Victoria Point,AU,2022-03-12 23:22:39,-27.5833,153.3,78.82,74,67,5.01
216,Reconquista,AR,2022-03-12 23:22:40,-29.15,-59.65,68.04,61,47,6.17
217,Burnie,AU,2022-03-12 23:22:40,-41.0667,145.9167,63.64,73,28,8.75
218,Manta,EC,2022-03-12 23:22:41,-0.95,-80.7333,82.18,78,75,2.3
219,Saskylakh,RU,2022-03-12 23:22:42,71.9167,114.0833,-24.03,99,96,2.77
220,Redmond,US,2022-03-12 23:20:01,47.674,-122.1215,60.24,41,88,8.99
221,Naron,ES,2022-03-12 23:22:42,43.5167,-8.1528,48.02,81,100,12.08
222,Wadersloh,DE,2022-03-12 23:22:43,51.7333,8.25,47.89,54,90,6.51
223,Praia Da Vitoria,PT,2022-03-12 23:22:43,38.7333,-27.0667,57.45,72,20,14.2
