,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
90,Port Blair,11.6667,92.75,80.85,75,39,3.42,IN,2022-03-28 00:06:22,scattered clouds
91,Gazli,40.1333,63.45,47.73,53,28,7.58,UZ,2022-03-28 00:06:22,scattered clouds
92,Krasnyy Chikoy,50.3643,108.7512,22.21,80,97,3.91,RU,2022-03-28 00:06:23,overcast clouds
93,Bluff,-46.6,168.3333,59.7,74,8,2.82,NZ,2022-03-28 00:05:54,clear sky
94,Hilo,19.7297,-155.09,80.33,62,20,9.22,US,2022-03-28 00:06:24,few clouds
95,Bubaque,11.2833,-15.8333,76.5,64,86,19.86,GW,2022-03-28 00:06:24,overcast clouds
96,Mareeba,-17.0,145.4333,82.49,59,79,2.84,AU,2022-03-28 00:02:18,broken clouds
97,Lempaala,61.3167,23.75,36.25,93,100,11.5,FI,2022-03-28 00:06:25,light rain
98,Nome,64.5011,-165.4064,28.47,69,0,5.75,US,2022-03-28 00:06:26,clear sky
99,Sinnamary,5.3833,-52.95,77.47,87,96,13.38,GF,2022-03-28 00:06:27,overcast clouds
100,Luwingu,-10.2621,29.9271,61.74,97,91,3.91,ZM,2022-03-28 00:06:27,light rain
101,Qaanaaq,77.484,-69.3632,9.79,95,100,6.6,GL,2022-03-28 00:06:28,light snow
102,Boden,65.8252,21.6886,23.0,95,100,8.86,SE,2022-03-28 00:02:48,light snow
103,Saint-Philippe,-21.3585,55.7679,77.22,85,98,9.37,RE,2022-03-28 00:06:28,overcast clouds
104,Chabahar,25.2919,60.643,77.34,71,0,14.47,IR,2022-03-28 00:06:29,clear sky
105,Cherskiy,68.75,161.3,5.47,88,99,8.3,RU,2022-03-28 00:06:29,overcast clouds
106,Khor,47.8861,134.9464,25.14,89,68,3.42,RU,2022-03-28 00:06:30,broken clouds
107,Daru,-9.0763,143.2092,78.58,89,100,3.4,PG,2022-03-28 00:06:31,overcast clouds
108,Henties Bay,-22.116,14.2845,64.62,89,2,6.93,NA,2022-03-28 00:06:31,clear sky
109,Hanchuan,30.65,113.7667,56.17,77,2,4.29,CN,2022-03-28 00:06:32,clear sky
110,Ponta Do Sol,32.6667,-17.1,62.06,79,53,6.26,PT,2022-03-28 00:03:08,broken clouds
111,Tuktoyaktuk,69.4541,-133.0374,-5.94,84,3,7.49,CA,2022-03-28 00:05:42,clear sky
112,Saint-Augustin,51.226,-58.6502,33.66,97,100,16.62,CA,2022-03-28 00:06:33,light snow
113,Victoria,22.2855,114.1577,64.94,94,100,5.01,HK,2022-03-28 00:04:20,light rain
114,Sakakah,29.9697,40.2064,53.17,25,0,6.87,SA,2022-03-28 00:06:34,clear sky
115,Mayumba,-3.432,10.6554,79.11,91,85,4.74,GA,2022-03-28 00:06:34,moderate rain
116,Drumheller,51.4617,-112.7101,50.31,45,100,6.29,CA,2022-03-28 00:06:35,overcast clouds
117,Kloulklubed,7.0419,134.2556,82.9,77,83,19.53,PW,2022-03-28 00:06:35,broken clouds
118,Bethel,41.3712,-73.414,37.49,64,100,14.97,US,2022-03-28 00:06:36,overcast clouds
119,Velke Pavlovice,48.9047,16.8161,47.43,39,0,0.22,CZ,2022-03-28 00:06:36,clear sky
120,Lompoc,34.6391,-120.4579,62.53,73,100,25.99,US,2022-03-28 00:06:37,overcast clouds
121,Dingle,10.9995,122.6711,81.84,74,67,10.2,PH,2022-03-28 00:06:37,broken clouds
122,Ribeira Grande,38.5167,-28.7,60.28,83,100,13.58,PT,2022-03-28 00:06:37,overcast clouds
123,Luleburgaz,41.4039,27.3592,45.9,79,39,3.2,TR,2022-03-28 00:06:38,scattered clouds
124,Shushtar,32.0455,48.8567,55.26,34,0,4.47,IR,2022-03-28 00:06:38,clear sky
125,Le Port,-20.9373,55.2919,77.61,77,76,6.29,RE,2022-03-28 00:06:39,broken clouds
126,Norman Wells,65.282,-126.8329,12.94,88,100,2.35,CA,2022-03-28 00:06:40,overcast clouds
127,Mersing,2.4312,103.8405,79.03,85,73,5.01,MY,2022-03-28 00:06:40,broken clouds
128,Tubuala,9.5167,-79.0333,78.71,85,33,12.41,PA,2022-03-28 00:06:41,scattered clouds
129,Puerto Ayora,-0.7393,-90.3518,79.43,81,97,9.66,EC,2022-03-28 00:06:41,overcast clouds
130,Bambous Virieux,-20.3428,57.7575,76.21,72,9,6.85,MU,2022-03-28 00:06:42,clear sky
131,Codrington,-38.2667,141.9667,64.98,67,88,10.02,AU,2022-03-28 00:05:52,overcast clouds
132,Isangel,-19.55,169.2667,83.48,69,50,7.74,VU,2022-03-28 00:06:43,scattered clouds
