,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
217,San Vicente,AR,61.29,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
221,Bengkulu,ID,73.85,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
222,Ritchie,ZA,67.51,few clouds,-29.038,24.6028,Riverside Country Club Modderrivier
224,Wyoming,US,65.1,broken clouds,43.0002,-107.5009,
225,Acandi,CO,77.81,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
227,Kidal,ML,80.82,few clouds,18.4411,1.4078,
230,Sorong,ID,80.76,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
231,Boa Vista,BR,79.21,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
233,Sao Filipe,CV,70.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
238,Camana,PE,70.54,broken clouds,-16.6228,-72.7111,Hostal Morales
244,Esperance,AU,63.75,overcast clouds,-33.8667,121.9,Hospitality Esperance
249,Christchurch,NZ,65.95,overcast clouds,-43.5333,172.6333,The George
251,Kannur,IN,78.39,clear sky,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
252,Mlonggo,ID,80.94,broken clouds,-6.5333,110.7,Asia Metal Art
255,Port Lincoln,AU,68.58,few clouds,-34.7333,135.8667,Port Lincoln Hotel
257,Iracoubo,GF,77.61,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
259,Kollam,IN,78.6,clear sky,8.8833,76.6,The Raviz Ashtamudi
261,Sokolo,ML,89.53,broken clouds,14.7328,-6.1219,
262,Sur,OM,79.38,clear sky,22.5667,59.5289,Sur Plaza Hotel
263,Takaka,NZ,67.51,clear sky,-40.85,172.8,Golden Bay Motels
265,Agadir,MA,64.85,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
270,Eyl,SO,74.82,broken clouds,7.9803,49.8164,Amiin Hotel
271,Sao Desiderio,BR,78.51,broken clouds,-12.3633,-44.9733,Pousada do Luizão
272,Pimenta Bueno,BR,74.59,moderate rain,-11.6725,-61.1936,Cristalina Palace Hotel
273,Lorengau,PG,82.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
274,Samarai,PG,83.86,overcast clouds,-10.6167,150.6667,Nuli Sapi
279,Kieta,PG,84.79,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
280,Mana,GF,77.36,overcast clouds,5.6592,-53.7767,LE SAMANA
284,Redlands,US,78.31,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
286,Salto Del Guaira,PY,68.43,clear sky,-24.0625,-54.3069,7 Saltos Resort
288,Bandar-E Lengeh,IR,72.73,clear sky,26.5579,54.8807,کافی نت پارس
290,Gondanglegi,ID,77.13,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
292,Ballina,AU,71.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
295,Maldonado,UY,68.23,clear sky,-34.6667,-54.9167,La Cimarrona
301,Paita,PE,73.36,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
306,Biak,ID,79.2,overcast clouds,-0.9131,122.8766,Penginapan Kim
314,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
316,Bathsheba,BB,77.54,overcast clouds,13.2167,-59.5167,Atlantis Hotel
317,Gigmoto,PH,81.27,overcast clouds,13.7796,124.39,Cj's Travellers Inn
318,Price,US,74.46,clear sky,39.5994,-110.8107,National 9 - Price River Inn
319,Turbat,PK,77.07,clear sky,26.0023,63.044,Mubashar Quarters
320,Sola,VU,82.94,overcast clouds,-13.8833,167.55,Leumerus Bungalows
322,Velingara,SN,85.37,broken clouds,13.15,-14.1167,Hotel Najla
324,Pacific Grove,US,66.34,clear sky,36.6177,-121.9166,Lovers Point Inn
328,Tura,IN,68.27,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
329,Great Falls,US,71.67,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
330,Creel,MX,63.25,overcast clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
332,George,ZA,70.07,scattered clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
333,Evangelista,PH,80.46,overcast clouds,13.3335,121.0972,Dolce Vita Di Jo Resort
334,Iralaya,HN,78.58,few clouds,15.0,-83.2333,Iglesia morava renovada
335,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
337,Tabou,CI,80.19,light rain,4.423,-7.3528,hotêl doufoulougou
338,Miraflores,MX,75.02,few clouds,19.2167,-98.8083,Hotel Mansión
339,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
341,Mitsamiouli,KM,82.06,light rain,-11.3847,43.2844,Foyer ADM
343,Rawson,AR,66.7,clear sky,-43.3002,-65.1023,Hosteria Sampedro
344,Cidreira,BR,69.28,clear sky,-30.1811,-50.2056,Hotel Castelo
348,Arica,CL,68.56,few clouds,-18.475,-70.3042,Hostal Jardin Del Sol
349,Namibe,AO,71.98,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
350,Namatanai,PG,83.39,light rain,-3.6667,152.4333,Seagulls Inn Namatani
351,Jilib,SO,77.32,broken clouds,0.4883,42.7854,Waadi Hotel
352,Mushie,CD,73.04,light rain,-3.0167,16.9,
354,Laguna,US,69.17,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
356,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
357,Kailua,US,79.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
359,Antofagasta,CL,65.89,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
360,Kara,TG,82.62,clear sky,9.5511,1.1861,Hotel Ma Vision B2K
361,Adrar,MR,76.93,clear sky,20.5022,-10.0711,
364,Sao Pedro Do Sul,BR,64.6,clear sky,-29.6206,-54.1789,Sítio Hotel e Eventos
365,Yola,NG,78.21,few clouds,9.2,12.4833,Muna Hotel
370,Thinadhoo,MV,81.54,few clouds,0.5333,72.9333,
371,Boende,CD,71.13,overcast clouds,-0.2167,20.8667,
372,Lamar,US,76.91,clear sky,33.6668,-95.5836,Kings Inn Paris TX
374,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
378,Qandala,SO,76.71,clear sky,11.472,49.8728,
379,Pucallpa,PE,77.04,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
380,Bowen,AU,82.49,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
381,Faanui,PF,82.17,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
382,Saldanha,ZA,62.6,clear sky,-33.0117,17.9442,Blue Bay Lodge
383,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
384,Azare,NG,71.55,few clouds,11.6765,10.1948,Mallam Ayuba Compound
387,Port-Gentil,GA,81.45,overcast clouds,-0.7193,8.7815,Fengshui Residence
388,Coolum Beach,AU,73.35,light rain,-26.5333,153.1,Coolum Beach Resort
389,Padang,ID,66.25,broken clouds,-0.9492,100.3543,Mercure Padang
390,Rakaia,NZ,69.37,clear sky,-43.75,172.0167,St Itas Guesthouse
391,Sale,MA,66.63,overcast clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
396,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
397,Carutapera,BR,76.55,moderate rain,-1.195,-46.02,Lidera
399,Ouadda,CF,67.14,broken clouds,8.0777,22.4007,
403,Vila Velha,BR,78.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
405,Rio Rancho,US,80.53,clear sky,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
406,Zarate,AR,69.84,clear sky,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
407,Monrovia,LR,79.84,overcast clouds,6.3005,-10.7969,Sunset Inn
409,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
412,Dondo,MZ,71.15,overcast clouds,-19.6094,34.7431,Arco Iris
413,Quatre Cocos,MU,76.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
414,Sungaipenuh,ID,64.67,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
416,Owando,CG,73.87,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
418,Micheweni,TZ,81.52,light rain,-4.9667,39.8333,
421,Sumbe,AO,78.4,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
422,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
425,Jalu,LY,60.39,clear sky,29.0331,21.5482,صاحبة الفخامة
428,Palasa,IN,78.17,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
431,Canico,PT,62.06,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
432,Veraval,IN,77.72,clear sky,20.9,70.3667,Lords Inn Somnath
433,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
434,Nokha,IN,76.95,clear sky,27.6,73.4167,Gurukarpa Hotel
435,Puerto Colombia,CO,80.69,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
439,Bouca,CF,73.89,overcast clouds,6.5105,18.2733,
441,Esmeraldas,BR,79.66,light rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
442,Guerrero Negro,MX,68.4,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
446,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
448,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
449,Lahad Datu,MY,76.08,overcast clouds,5.0268,118.327,The 27th House
451,Martapura,ID,75.29,clear sky,-3.4167,114.85,Montana Hotel Syariah
452,Weligama,LK,76.19,few clouds,5.9667,80.4167,Weligama Bay Resort
453,Yendi,GH,89.33,few clouds,9.4427,-0.0099,Eyarro Lodge
458,Kulhudhuffushi,MV,82.31,clear sky,6.6221,73.07,Haajy Guest House 1
462,Jibuti,DJ,72.75,clear sky,11.5,42.5,Orchid Main Camp Goubet
463,Kavaratti,IN,82.58,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
465,Davila,PH,84.18,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
470,Moanda,GA,73.54,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
473,Dabola,GN,79.16,light rain,10.75,-11.1167,Hotel Tinkisso
474,Sumenep,ID,79.79,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
476,Itarema,BR,77.54,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
477,Matara,LK,76.24,few clouds,5.9485,80.5353,Amaloh Boutique Resort
479,Hobyo,SO,79.52,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
488,Inhambane,MZ,74.95,scattered clouds,-23.865,35.3833,Oceano
489,Graaff-Reinet,ZA,70.65,scattered clouds,-32.2522,24.5308,Rietjiesbos Self Catering
490,Santa Isabel Do Rio Negro,BR,74.19,overcast clouds,-0.4139,-65.0192,Hotel GSA
493,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
495,Panama City,PA,82.35,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
497,Sawakin,SD,72.1,clear sky,19.1059,37.3321,فندق الدويم
498,Sabang,ID,82.99,scattered clouds,5.8933,95.3214,Hotel Citra
499,Araouane,ML,83.91,broken clouds,18.9048,-3.5265,
501,Dunedin,NZ,63.81,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
502,Ishigaki,JP,68.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
503,Antalaha,MG,74.48,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
504,Sao Felix Do Xingu,BR,73.65,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
505,Harper,LR,80.13,light rain,4.375,-7.7169,Screensaver
508,Gulu,UG,65.35,overcast clouds,2.7746,32.299,ACHOLI INN
510,Qui Nhon,VN,78.26,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
511,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
513,Antsohihy,MG,74.28,overcast clouds,-14.8796,47.9875,Hotel de Ville
518,Bandarbeyla,SO,77.31,clear sky,9.4942,50.8122,JABIR HOTEL
520,High Rock,BS,69.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
521,Wanaka,NZ,66.11,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
522,Bac Lieu,VN,82.62,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
523,Watsa,CD,64.76,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
524,Diu,IN,79.29,few clouds,20.7141,70.9822,Hotel Relax Inn
530,Khuzdar,PK,67.46,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
532,Chinsali,ZM,63.09,broken clouds,-10.5414,32.0816,Chisakatu Guest House
533,Popondetta,PG,81.91,overcast clouds,-8.7537,148.2534,Timos Transit House
534,Kruisfontein,ZA,62.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
537,Port Augusta,AU,77.74,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
539,Save,BJ,82.56,scattered clouds,8.0425,2.486,Le Cercle du Rail
541,Santa Rosa,PH,85.01,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
545,Moree,AU,75.22,scattered clouds,-29.4667,149.85,Molika Springs Motel
547,Imbituba,BR,69.42,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
550,Diffa,NE,73.65,scattered clouds,13.3154,12.6113,ProDAF/Diffa
551,Broken Hill,AU,75.13,broken clouds,-31.95,141.4333,Royal Exchange Hotel
552,Omboue,GA,78.24,light rain,-1.5746,9.2618,Hotel Olako
553,Nouadhibou,MR,64.38,overcast clouds,20.931,-17.0347,El Medina
554,San Jose,US,67.57,broken clouds,37.3394,-121.895,The Westin San Jose
556,Nawalapitiya,LK,68.11,clear sky,7.0559,80.5348,Binara Villa
557,Manali,IN,82.49,clear sky,13.1667,80.2667,Sarathy Lodge
559,Riverton,US,76.1,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
560,Blackwater,AU,79.18,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
561,Bilma,NE,70.54,clear sky,18.6853,12.9164,Expeditions Ténére voyages
563,Khamaria,IN,75.7,clear sky,23.2167,79.8833,Hotel Vasu
567,Meadow Lake,US,79.45,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
569,Hailey,US,62.46,broken clouds,43.5196,-114.3153,Wood River Inn & Suites
570,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
571,Samarinda,ID,75.87,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
572,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
